# IPA pronunciations, derived from CMUdict.
#
# SOURCE: github.com/cmusphinx/cmudict — public domain (BSD-style, no
# restriction on use). General American.
#
# Converted from ARPABET by services/arpabet.py. The conversion is
# mechanical except for syllable stress: IPA marks the start of the
# stressed syllable while ARPABET marks the stressed vowel, so the
# boundary is worked out with the maximal onset principle. Marking the
# vowel instead would give /sɛˈʃən/ for 'session'.
#
# Only the first pronunciation of each word is kept. CMUdict lists
# alternatives as 'record(2)'; a learner needs one, not a survey.
#
# This closes the gap WordNet leaves: it has definitions but no
# phonetics, and the online dictionary was the only source of IPA.
word,ipa
doublespeak,ˈdʌbəlˌspik
doublethink,ˈdʌbəlˌθɪŋk
doubletree,ˈdʌbəltˌɹi
doubling,ˈdʌbəlɪŋ
doubly,ˈdʌbli
doubrava,ˈdaʊbɹəvə
doubt,daʊt
doubted,ˈdaʊtɪd
doubter,ˈdaʊtɚ
doubters,ˈdaʊtɚz
doubtfire,ˈdaʊtˈfaɪɚ
doubtfire's,ˈdaʊtˈfaɪɚz
doubtfires,ˈdaʊtˈfaɪɚz
doubtful,ˈdaʊtfəl
doubting,ˈdaʊtɪŋ
doubtless,ˈdaʊtləs
doubts,daʊts
doucet,duˈsɛt
doucette,ˈduˈsɛt
douche,duʃ
doud,daʊd
doudna,ˈdaʊdnə
douds,daʊdz
doug,dʌɡ
doug's,dʌɡz
dougal,ˈduɡəl
dougall,ˈdaʊɡəl
dougan,ˈdaʊɡən
dougans,ˈdaʊɡən
dougens,ˈdaʊɡənz
douggins,ˈduɡənz
dough,doʊ
doughboy,ˈdoʊˌbɔɪ
dougher,ˈdoʊɚ
dougherty,ˈdoʊɚti
doughman,ˈdoʊmən
doughnut,ˈdoʊˌnʌt
doughnuts,ˈdoʊˌnʌts
doughten,ˈdɔtən
doughtie,ˈdɔti
doughty,ˈdɔti
doughy,ˈdoʊi
dougie,ˈduɡi
dougie's,ˈduɡiz
dougl,ˈduɡəl
douglas,ˈdʌɡləs
douglas',ˈdʌɡləs
douglas's,ˈdʌɡləsɪz
douglass,ˈdʌɡləs
doukas,ˈdaʊkəz
doulton,ˈdoʊltən
douma,ˈdoʊmə
doupe,dup
dour,ˈdaʊɚ
douse,daʊs
doused,daʊst
dousing,ˈdaʊsɪŋ
douthat,ˈdaʊθət
douthett,ˈdaʊθɪt
douthit,duˈθɪt
douthitt,duˈθɪt
doutt,daʊt
douty,ˈdaʊti
douville,duˈvɪl
douwe,du
dov,dɑv
dove,dʌv
dovecote,ˈdʌvˌkoʊt
dovecotes,ˈdʌvˌkoʊts
dovel,doʊˈvɛl
dover,ˈdoʊvɚ
dover's,ˈdoʊvɚz
doverspike,dəˈvɝspɪk
doves,dʌvz
dovetail,ˈdʌvˌteɪl
dovetailed,ˈdʌvˌteɪld
dovetails,ˈdʌvˌteɪlz
dovey,dəˈveɪ
dovidio,doʊˈvidioʊ
dovish,ˈdoʊvɪʃ
dow,daʊ
dow's,daʊz
dowager,ˈdaʊədʒɚ
dowd,daʊd
dowda,ˈdaʊdə
dowdall,ˈdaʊdəl
dowdell,ˈdaʊdəl
dowden,ˈdaʊdən
dowding,ˈdaʊdɪŋ
dowdle,ˈdaʊdəl
dowds,daʊdz
dowdy,ˈdaʊdi
dowe,daʊ
dowel,ˈdaʊəl
dowell,ˈdɑwɛl
dowels,ˈdaʊəlz
dowen,ˈdaʊən
dower,daʊɹ
dowers,daʊɹz
dowie,ˈdaʊi
dowis,ˈdaʊɪs
dowland,ˈdaʊlənd
dowlen,ˈdaʊlən
dowler,ˈdaʊlɚ
dowless,ˈdaʊləs
dowling,ˈdaʊlɪŋ
down,daʊn
down's,daʊnz
downard,ˈdaʊnɚd
downbeat,daʊnˈbit
downcast,ˈdaʊnˌkæst
downdraft,ˈdaʊndˌɹæft
downe,daʊn
downed,daʊnd
downen,ˈdaʊnən
downer,ˈdaʊnɚ
downers,ˈdaʊnɚz
downes,daʊnz
downes's,ˈdaʊnzɪz
downey,ˈdaʊni
downey's,ˈdaʊniz
downfall,ˈdaʊnˌfɔl
downgrade,ˈdaʊnɡˈɹeɪd
downgraded,ˈdaʊnɡˈɹeɪdəd
downgrades,ˈdaʊnɡˈɹeɪdz
downgrading,ˈdaʊnɡˈɹeɪdɪŋ
downgradings,ˈdaʊnɡˌɹeɪdɪŋz
downham,ˈdaʊnhəm
downhill,ˈdaʊnˈhɪl
downie,ˈdaʊni
downing,ˈdaʊnɪŋ
downingtown,ˈdaʊnɪŋˌtaʊn
download,ˈdaʊnˌloʊd
downloaded,ˈdaʊnˌloʊdɪd
downloading,ˈdaʊnˌloʊdɪŋ
downloads,ˈdaʊnˌloʊdz
downpayment,ˌdaʊnˈpeɪmənt
downpayments,ˌdaʊnˈpeɪmənts
downplay,ˈdaʊnˌpleɪ
downplayed,ˈdaʊnˌpleɪd
downplaying,ˈdaʊnˌpleɪɪŋ
downplays,ˈdaʊnˌpleɪz
downpour,ˈdaʊnpɔɹ
downpours,ˈdaʊnˌpɔɹz
downrange,ˈdaʊnˈɹeɪndʒ
downright,ˈdaʊnˌɹaɪt
downriver,ˌdaʊnˈɹɪvɚ
downs,daʊnz
downscale,ˈdaʊnˌskeɪl
downside,ˈdaʊnˌsaɪd
downsides,ˈdaʊnˌsaɪdz
downsize,ˈdaʊnˌsaɪz
downsized,ˈdaʊnˌsaɪzd
downsizes,ˈdaʊnˌsaɪzɪz
downsizing,ˈdaʊnˌsaɪzɪŋ
downsizings,ˈdaʊnˌsaɪzɪŋz
downstage,ˈdaʊnˌsteɪdʒ
downstairs,ˈdaʊnˈstɛɹz
downstate,ˈdaʊnˌsteɪt
downstream,ˈdaʊnstˈɹim
downswing,ˈdaʊnˌswɪŋ
downtime,ˈdaʊnˌtaɪm
downtown,ˈdaʊnˈtaʊn
downtown's,ˈdaʊnˈtaʊnz
downtowns,ˈdaʊnˈtaʊnz
downtrend,ˈdaʊntˌɹɛnd
downtrodden,ˌdaʊntˈɹɑdən
downturn,ˈdaʊnˌtɝn
downturns,ˈdaʊnˌtɝnz
downum,ˈdaʊnəm
downvote,ˈdaʊnˈvoʊt
downvoted,ˈdaʊnˈvoʊtɪd
downvotes,ˈdaʊnˈvoʊts
downvoting,ˈdaʊnˈvoʊtɪŋ
downward,ˈdaʊnwɚd
downwardly,ˈdaʊnwɚdli
downwards,ˈdaʊnwɚdz
downwind,daʊnˈwɪnd
downy,ˈdaʊni
dowry,ˈdaʊɹi
dowse,daʊs
dowsing,ˈdaʊsɪŋ
dowsman,ˈdaʊzmən
dowty,ˈdaʊti
doxey,ˈdɑksi
doxie,ˈdɑksi
doxologies,dɑkˈsɑlədʒiz
doxology,dɑkˈsɑlədʒi
doxtater,ˈdɑksteɪtɚ
doxy,ˈdɑksi
doyal,dɔɪˈɑl
doyel,ˈdɔɪəl
doyen,ˈdɔɪɪn
doyenne,ˌdɔɪˈɛn
doyle,dɔɪl
doyle's,dɔɪlz
doyon,ˈdɔɪən
doze,doʊz
dozed,doʊzd
dozen,ˈdʌzən
dozens,ˈdʌzənz
dozes,ˈdoʊzɪz
dozier,ˈdoʊziɚ
dozing,ˈdoʊzɪŋ
dqalpha,ˈdiˈkjuˈælfə
dr,dɹaɪv
dr.,dɹaɪv
drab,dɹæb
drabbed,dɹæbd
drabble,ˈdɹæbəl
drabek,ˈdɹæbɪk
drabenstott,dɹəˈbɛnstət
drabik,ˈdɹɑbɪk
drabinsky,dɹəˈbɪnski
drabkin,ˈdɹæbˌkɪn
drabs,dɹæbz
drace,dɹeɪs
drach,dɹætʃ
drachenberg,ˈdɹækənbɚɡ
drachma,ˈdɹækmə
drachmas,ˈdɹɑkməz
drackett,ˈdɹækɪt
draco,ˈdɹeɪkoʊ
draconian,dɹeɪˈkoʊniən
dracula,ˈdɹækjulə
draeger,ˈdɹɛɡɚ
draffen,ˈdɹæfən
draft,dɹæft
draft's,dɹæfts
drafted,ˈdɹæftɪd
draftee,ˈdɹæfˈti
draftees,ˈdɹæfˈtiz
drafter,ˈdɹæftɚ
drafters,ˈdɹæftɚz
drafting,ˈdɹæftɪŋ
drafts,dɹæfts
draftsman,ˈdɹæftsmən
draftsmanship,ˈdɹæftsmənˌʃɪp
draftsmen,ˈdɹæftsmən
drafty,ˈdɹæfti
drag,dɹæɡ
dragan,ˈdɹɑɡən
drage,dɹeɪdʒ
drager,ˈdɹeɪɡɚ
dragged,dɹæɡd
dragging,ˈdɹæɡɪŋ
draggy,ˈdɹæɡi
dragline,ˈdɹæˌɡlaɪn
dragnet,ˈdɹæɡˌnɛt
dragnets,ˈdɹæɡˌnɛts
drago,ˈdɹɑɡoʊ
dragon,ˈdɹæɡən
dragon's,ˈdɹæɡənz
dragonair,ˈdɹæɡəˌnɛɹ
dragone,dɹəˈɡoʊn
dragonhead,ˈdɹæɡənˌhɛd
dragonheart,ˈdɹæɡənˌhɑɹt
dragons,ˈdɹæɡənz
dragoo,ˈdɹɑɡu
dragovich,ˈdɹæɡəvɪtʃ
drags,dɹæɡz
draheim,ˈdɹæhaɪm
drahos,ˈdɹeɪhoʊz
drahuschak,ˈdɹæhəʃæk
drain,dɹeɪn
drainage,ˈdɹeɪnədʒ
draine,dɹeɪn
drained,dɹeɪnd
drainer,ˈdɹeɪnɚ
drainers,ˈdɹeɪnɚz
draining,ˈdɹeɪnɪŋ
drains,dɹeɪnz
drake,dɹeɪk
drakeford,ˈdɹækfɔɹd
drakes,dɹeɪks
drakos,ˈdɹeɪkoʊz
dralle,dɹeɪl
dram,dɹæm
drama,ˈdɹɑmə
dramamine,ˈdɹæməˌmin
dramas,ˈdɹɑməz
dramatic,dɹəˈmætɪk
dramatically,dɹəˈmætɪkli
dramatics,dɹəˈmætɪks
dramatist,ˈdɹɑmətɪst
dramatization,ˌdɹæmətəˈzeɪʃən
dramatizations,ˌdɹæmətəˈzeɪʃənz
dramatize,ˈdɹɑməˌtaɪz
dramatized,ˈdɹæməˌtaɪzd
dramatizes,ˈdɹæməˌtaɪzɪz
dramatizing,ˈdɹæməˌtaɪzɪŋ
dramaturgy,ˈdɹɑmətɚdʒi
drams,dɹæmz
drane,dɹeɪn
draney,ˈdɹeɪni
drang,dɹæŋ
drank,dɹæŋk
dransfield,ˈdɹænˌsfild
drape,dɹeɪp
drapeau,dɹəˈpoʊ
draped,dɹeɪpt
draper,ˈdɹeɪpɚ
draperies,ˈdɹeɪpɚiz
drapery,ˈdɹeɪpɚi
drapes,dɹeɪps
draping,ˈdɹeɪpɪŋ
drapkin,ˈdɹæpkɪn
drasner,ˈdɹæsnɚ
drastic,ˈdɹæstɪk
drastically,ˈdɹæstɪkli
draughn,dɹɔn
draughon,ˈdɹɔən
draught,dɹæft
draughts,dɹæfts
draus,dɹɔz
dravecky,dɹəˈvɛki
draves,dɹeɪvz
dravis,ˈdɹævɪs
dravo,ˈdɹævoʊ
dravo's,ˈdɹævoʊz
draw,dɹɔ
drawback,ˈdɹɔˌbæk
drawbacks,ˈdɹɔˌbæks
drawbaugh,ˈdɹɔˌbɔ
drawbridge,ˈdɹɔbˌɹɪdʒ
drawdown,ˈdɹɔˌdaʊn
drawdowns,ˈdɹɔˌdaʊnz
drawdy,ˈdɹɔdi
drawer,dɹɔɹ
drawers,dɹɔɹz
drawing,ˈdɹɔɪŋ
drawings,ˈdɹɔɪŋz
drawl,dɹɔl
drawled,dɹɔld
drawls,dɹɔlz
drawn,dɹɔn
draws,dɹɔz
dray,dɹeɪ
drayer,ˈdɹeɪɚ
drayton,ˈdɹeɪtən
drayton's,ˈdɹeɪtənz
dread,dɹɛd
dreaded,ˈdɹɛdɪd
dreadful,ˈdɹɛdfəl
dreadfully,ˈdɹɛdfəli
dreading,ˈdɹɛdɪŋ
dreadnought,ˈdɹɛdˌnɔt
dreads,dɹɛdz
dream,dɹim
dreamed,dɹimd
dreamer,ˈdɹimɚ
dreamers,ˈdɹimɚz
dreaming,ˈdɹimɪŋ
dreamland,ˈdɹimˌlænd
dreamlike,ˈdɹimˌlaɪk
dreams,dɹimz
dreamt,dɹɛmt
dreamworks,ˈdɹimˌwɝks
dreamworks',ˈdɹimˌwɝks
dreamworld,ˈdɹimˌwɝld
dreamy,ˈdɹimi
dreariness,ˈdɹiɹinəs
dreary,ˈdɹɪɹi
drebsky,ˈdɹɛbski
drechsel,ˈdɹɛksəl
drechsler,ˈdɹɛksəlɚ
dred,dɹɛd
dredd,dɹɛd
dredge,dɹɛdʒ
dredged,dɹɛdʒd
dredges,ˈdɹɛdʒəz
dredging,ˈdɹɛdʒɪŋ
drees,dɹiz
dreese,dɹiz
dreessen,ˈdɹisən
dreger,ˈdɹɛɡɚ
dregs,dɹɛɡz
dreher,dɹɛɹ
dreibelbis,ˈdɹaɪbɪlbɪs
dreier,ˈdɹaɪɚ
dreighton,ˈdɹaɪtɪn
dreiling,ˈdɹaɪlɪŋ
dreis,dɹiz
dreisbach,ˈdɹaɪsˌbɑk
dreman,ˈdɹimən
drench,dɹɛntʃ
drenched,dɹɛntʃt
drenches,ˈdɹɛntʃəz
drenching,ˈdɹɛntʃɪŋ
drennan,ˈdɹɛnən
drennen,ˈdɹɛnən
drenning,ˈdɹɛnɪŋ
drennon,ˈdɹɛnən
drenth,dɹɛnθ
drepung,ˈdɹeɪˌpʌŋ
dresbach,ˈdɹɛsˌbɑk
dresch,dɹɛʃ
drescher,ˈdɹɛʃɚ
dresden,ˈdɹɛzdɪn
dresdner,ˈdɹɛzdnɚ
dresdner's,ˈdɹɛzdnɚz
dresen,ˈdɹizən
dresher,ˈdɹɛʃɚ
dresner,ˈdɹɛznɚ
dress,dɹɛs
dressage,dɹɛˈsɑʒ
dressed,dɹɛst
dressel,ˈdɹɛsəl
dressen,ˈdɹɛsən
dresser,ˈdɹɛsɚ
dresser's,ˈdɹɛsɚz
dressers,ˈdɹɛsɚz
dresses,ˈdɹɛsəz
dressier,ˈdɹɛsiɚ
dressing,ˈdɹɛsɪŋ
dressings,ˈdɹɛsɪŋz
dressler,ˈdɹɛslɚ
dressmaker,ˈdɹɛˌsmeɪkɚ
dressmakers,ˈdɹɛˌsmeɪkɚz
dressmaking,ˈdɹɛˌsmeɪkɪŋ
dressy,ˈdɹɛsi
drew,dɹu
drewery,ˈdɹuɚi
drewes,dɹuz
drewett,ˈdɹuɪt
drewry,ˈdɹuɹi
drews,dɹuz
drexel,ˈdɹɛksəl
drexel's,ˈdɹɛksəlz
drexler,ˈdɹɛkslɚ
drey,dɹeɪ
dreyer,ˈdɹeɪɚ
dreyfus,ˈdɹaɪfəs
dreyfus's,ˈdɹeɪfəsɪz
dreyfuss,ˈdɹeɪfəs
dribbed,dɹɪbd
dribble,ˈdɹɪbəl
dribbled,ˈdɹɪbəld
dribbles,ˈdɹɪbəlz
dribbling,ˈdɹɪbəlɪŋ
dribs,dɹɪbz
dried,dɹaɪd
driehaus,ˈdɹiˌhaʊs
drier,ˈdɹaɪɚ
dries,dɹaɪz
driessen,ˈdɹisən
driest,ˈdɹaɪəst
driever,ˈdɹivɚ
drift,dɹɪft
drifta,ˈdɹɪftə
drifted,ˈdɹɪftəd
drifter,ˈdɹɪftɚ
drifters,ˈdɹɪftɚz
drifting,ˈdɹɪftɪŋ
driftnet,ˈdɹɪftˌnɛt
drifts,dɹɪfts
driftwood,ˈdɹɪfˌtwʊd
driggers,ˈdɹɪɡɚz
driggs,dɹɪɡz
drill,dɹɪl
drillbit,ˈdɹɪlˌbɪt
drilled,dɹɪld
driller,ˈdɹɪlɚ
drillers,ˈdɹɪlɚz
drilling,ˈdɹɪlɪŋ
drilling's,ˈdɹɪlɪŋz
drills,dɹɪlz
drina,ˈdinə
drina's,ˈdinəz
drinas,ˈdinəz
dring,dɹɪŋ
drink,dɹɪŋk
drinkable,ˈdɹɪnkəbəl
drinkard,ˈdɹɪŋkɚd
drinker,ˈdɹɪŋkɚ
drinker's,ˈdɹɪŋkɚz
drinkers,ˈdɹɪŋkɚz
drinking,ˈdɹɪŋkɪŋ
drinks,dɹɪŋks
drinkwater,ˈdɹɪŋˌkwɔtɚ
drinkwine,ˈdɹɪŋˌkwaɪn
drinnon,ˈdɹɪnən
drip,dɹɪp
drip-dry,ˈdɹɪpdˈɹaɪ
dripped,dɹɪpt
dripping,ˈdɹɪpɪŋ
dripps,dɹɪps
drips,dɹɪps
driscoll,ˈdɹɪskəl
driskell,ˈdɹɪskəl
driskill,ˈdɹɪskɪl
drivable,ˈdɹaɪvəbəl
drive,dɹaɪv
drive's,dɹaɪvz
drive-by,ˈdɹaɪvˈbaɪ
drive-thru,ˈdɹaɪvθˈɹu
drive-thrus,ˈdɹaɪvθˈɹuz
drivel,ˈdɹɪvəl
driven,ˈdɹɪvən
driver,ˈdɹaɪvɚ
driver's,ˈdɹaɪvɚz
driverless,ˈdɹaɪvɚlɪs
drivers,ˈdɹaɪvɚz
drivers',ˈdɹaɪvɚz
drives,dɹaɪvz
driveway,ˈdɹaɪvˌweɪ
driveways,ˈdɹaɪvˌweɪz
driving,ˈdɹaɪvɪŋ
drizzle,ˈdɹɪzəl
drizzling,ˈdɹɪzəlɪŋ
drizzly,ˈdɹɪzli
drobkov,ˈdɹɔbkɔv
drobny,ˈdɹɑbni
droddy,ˈdɹɑdi
droege,dɹoʊdʒ
droessler,ˈdɹoʊsəlɚ
droge,dɹoʊdʒ
drogoul,dɹoʊˈɡul
drogoul's,dɹoʊˈɡulz
drogue,dɹoʊɡ
drohan,ˈdɹoʊən
droid,dɹɔɪd
droids,dɹɔɪdz
droke,dɹoʊk
drolet,ˈdɹoʊlɪt
droll,dɹoʊl
drollinger,ˈdɹoʊlɪŋɚ
dromedary,ˈdɹɑməˌdɛɹi
dromer,ˈdɹoʊmɚ
dromey,ˈdɹoʊmi
dromgoole,ˈdɹɑmˌɡul
dromgooles,dɹɑmˈɡulz
dromi,ˈdɹɑmi
dromomania,ˌdɹoʊmoʊˈmeɪniə
dromon,ˈdɹoʊmən
drone,dɹoʊn
droned,dɹoʊnd
drones,dɹoʊnz
dronet,ˈdɹoʊnɪt
droney,ˈdɹoʊni
droning,ˈdɹoʊnɪŋ
drool,dɹul
drooled,dɹuld
drooling,ˈdɹulɪŋ
droop,dɹup
drooped,dɹupt
drooping,ˈdɹupɪŋ
droopy,ˈdɹupi
drop,dɹɑp
drop-off,ˈdɹɑˌpɔf
drop-offs,ˈdɹɑˌpɔfs
dropbox,ˈdɹɑpˌbɑks
dropkin,ˈdɹɑpkɪn
droplet,ˈdɹɑplət
droplets,ˈdɹɑpləts
dropoff,ˈdɹɑˌpɔf
dropoffs,ˈdɹɑˌpɔfs
dropout,ˈdɹɑˌpaʊt
dropouts,ˈdɹɑˌpaʊts
dropped,dɹɑpt
dropper,ˈdɹɑpɚ
droppers,ˈdɹɑpɚz
dropping,ˈdɹɑpɪŋ
droppings,ˈdɹɑpɪŋz
drops,dɹɑps
dropsy,ˈdɹɑpsi
droser,ˈdɹoʊzɚ
dross,dɹɔs
drost,dɹɑst
droste,dɹoʊst
drotar,ˈdɹoʊtɚ
drought,dɹaʊt
drought's,dɹaʊts
droughts,dɹaʊts
drouillard,dɹwiˈlɑɹd
drouin,dɹwin
drove,dɹoʊv
drover,ˈdɹoʊvɚ
droves,dɹoʊvz
drown,dɹaʊn
drowned,dɹaʊnd
drowning,ˈdɹaʊnɪŋ
drownings,ˈdɹaʊnɪŋz
drowns,dɹaʊnz
drowsiness,ˈdɹaʊzinəs
drowsy,ˈdɹaʊzi
droz,dɹɑz
drozd,dɹɑzd
drozda,ˈdɹɑzdə
drozdowski,dɹəzˈdɔfski
dru,dɹu
drub,dɹʌb
drubbed,dɹʌbd
drubbing,ˈdɹʌbɪŋ
druce,dɹus
drucie,ˈdɹʌki
druck,dɹʌk
druckenmiller,ˈdɹʌkɪnˌmɪlɚ
drucker,ˈdɹʌkɚ
druckman,ˈdɹʌkmən
drudge,dɹʌdʒ
drudgery,ˈdɹʌdʒɚi
druella,ˌdɹuˈɛlə
drug,dɹʌɡ
drug's,dɹʌɡz
drugan,ˈdɹuɡən
drugged,dɹʌɡd
druggie,ˈdɹʌɡi
drugging,ˈdɹʌɡɪŋ
druggist,ˈdɹʌɡɪst
druggist's,ˈdɹʌɡəsts
druggists,ˈdɹʌɡəsts
drugmaker,ˈdɹʌɡˌmeɪkɚ
drugmakers,ˈdɹʌɡˌmeɪkɚz
drugs,dɹʌɡz
drugs',dɹʌɡz
drugstore,ˈdɹʌɡˌstɔɹ
drugstores,ˈdɹʌɡˌstɔɹz
druid,ˈdɹuɪd
druidism,ˈdɹuəˌdɪzəm
druids,ˈdɹuɪdz
druisilla,dɹɪˈsɪlə
drum,dɹʌm
drumbeat,ˈdɹʌmˌbit
drumhead,ˈdɹʌmˌhɛd
drumheller,ˈdɹʌmˌhɛlɚ
drumlin's,ˈdɹʌmlɪnz
drumm,dɹʌm
drummed,dɹʌmd
drummer,ˈdɹʌmɚ
drummers,ˈdɹʌmɚz
drummey,ˈdɹʌmi
drumming,ˈdɹʌmɪŋ
drummond,ˈdɹʌmənd
drummonds,ˈdɹʌməndz
drumright,ˈdɹʌmˌɹaɪt
drums,dɹʌmz
drumstick,ˈdɹʌmstɪk
drumwright,ˈdɹʌmˌɹaɪt
drunk,dɹʌŋk
drunkard,ˈdɹʌŋkɚd
drunkards,ˈdɹʌŋkɚdz
drunken,ˈdɹʌŋkən
drunkenness,ˈdɹʌŋkənnəs
drunks,dɹʌŋks
drupe,dɹup
drupes,dɹups
drury,ˈdɹuɹi
drusa,ˈdɹusə
druse,dɹuz
drusie,ˈdɹʌsi
drusilla,ˌdɹuˈsɪlə
druthers,ˈdɹʌðɚz
druze,dɹuz
dry,dɹaɪ
dryclean,ˈdɹaɪˌklin
drycleaner,ˈdɹaɪˌklinɚ
drycleaning,ˈdɹaɪˌklinɪŋ
dryden,ˈdɹaɪdən
drye,dɹaɪ
dryer,ˈdɹaɪɚ
dryers,ˈdɹaɪɚz
drying,ˈdɹaɪɪŋ
dryly,ˈdɹaɪli
dryness,ˈdɹaɪnəs
drypers,ˈdɹaɪpɚz
drypoint,ˈdɹaɪˌpɔɪnt
drysdale,ˈdɹaɪzˌdeɪl
dryser,ˈdɹaɪsɚ
drywall,ˈdɹaɪˌwɑl
drzewiecki,dʒuˈitski
dsouza,dəˈsuzə
dss,ˈdiˈɛˈsɛs
dsv,ˈdiˈɛsˈvi
du,du
du-bois,ˈduˈbɔɪs
dual,ˈduəl
dualism,ˈduəˌlɪzəm
dualisms,ˈduəˌlɪzəmz
dualist,ˈduəlɪst
dualistic,ˌduəˈlɪstɪk
duality,duˈæləti
duals,ˈduəlz
duan,dwæn
duana,duˈænə
duane,dweɪn
duarte,ˈdwɑɹˌteɪ
duarte's,ˈdwɑɹˌteɪz
dub,dʌb
duba,ˈdubə
dubach,ˈdʌbɑk
dubai,duˈbaɪ
dubarry,ˈduˌbɛɹi
dubas,ˈdubəz
dubay,ˈdʌbeɪ
dubbed,dʌbd
dubberly,ˈdʌbɚli
dubbing,ˈdʌbɪŋ
dubbs,dʌbz
dubcek,ˈdʌbˌtʃɛk
dube,dub
dubeau,dəˈboʊ
duberstein,ˈdubɚˌstaɪn
duberstein's,ˈdubɚˌstaɪnz
dubey,ˈdʌbi
dubhi,ˈdubi
dubicki,dəˈbɪtski
dubie,ˈdʌbi
dubiel,ˈdʌbil
dubilier,ˌdubəˈlɪɹ
dubin,ˈdubɪn
dubinin,duˈbɪnɪn
dubinsky,dəˈbɪnski
dubious,ˈdubiəs
dubiously,ˈdubiəˌsli
dubis,ˈdubɪs
dublin,ˈdʌblɪn
dublin's,ˈdʌblɪnz
duboff,ˈdʌˌbɔf
dubois,duˈbɔɪs
duboise,duˈbɔɪs
dubord,dəˈbɔɹd
dubose,duˈboʊz
dubow,ˈduboʊ
dubrawski,dubˈɹaʊski
dubray,ˈdʌbˌɹeɪ
dubree,dəbˈɹi
dubreuil,ˈdʌbɹul
dubroc,ˈdʌbɹək
dubroff,ˈdubɹɔf
dubrovnik,dubˈɹɑvnɪk
dubrovnik's,dubˈɹɑvnɪkz
dubrovniks,dubˈɹɑvnɪkz
dubrovsky,dubˈɹɔfski
dubrow,ˈdʌbˌɹoʊ
dubs,dʌbz
dubuc,ˈdubək
dubuisson,ˈdʌbɪsən
dubuque,dəˈbjuk
dubuque's,dəˈbjuks
duby,ˈdubi
duc,dʌk
duca,ˈdukə
ducal,ˈdukəl
duce,dus
ducey,ˈdʌsi
duch,dʌtʃ
duchaine,dəˈʃeɪn
duchamp,duˈʃɑmp
duchamp's,duˈʃɑmps
ducharme,dəˈʃɑɹm
duchemin,ˈdʌʃɪmæn
duchene,ˈdʌkin
duchenne,duˈʃɛn
duchesneau,ˈdʌʃɪsnoʊ
duchess,ˈdʌtʃəs
duchin,ˈdutʃɪn
duchon,ˈdʌtʃən
duchossois,duˈtʃɔˌswɑ
duchow,ˈdʌtʃoʊ
duchy,ˈdʌtʃi
duck,dʌk
duck's,dʌks
ducked,dʌkt
ducker,ˈdʌkɚ
duckett,ˈdʌkɪt
duckies,ˈdʌˌkɪz
ducking,ˈdʌkɪŋ
duckling,ˈdʌklɪŋ
ducklings,ˈdʌklɪŋz
ducks,dʌks
ducks',dʌks
ducksworth,ˈdʌkˌswɝθ
duckwall,ˈdʌˌkwɔl
duckweed,ˈdʌˌkwid
duckworth,ˈdʌˌkwɝθ
ducky,ˈdʌˌki
duclos,dəˈkloʊz
ducommun,duˈkɑmən
ducote,dəˈkoʊt
duct,dʌkt
ductile,ˈdʌktəl
ductility,dəkˈtɪləti
ductless,ˈdʌktləs
ducts,dʌkts
dud,dʌd
duda,ˈdudə
dudack,ˈdudæk
dudar,ˈdudɚ
dudas,ˈdudəz
dudash,ˈdʌdəʃ
dudayev,duˈdaɪˌɛv
dudayev's,duˈdaɪˌɛvz
dudd,dʌd
dudding,ˈdʌdɪŋ
duddy,ˈdʌdi
dude,dud
dudeck,ˈdudɛk
dudeck's,ˈdudɛks
dudek,ˈdudɪk
duden,ˈdudən
dudenhoeffer,ˈdʌdɪnhoʊfɚ
dudes,djudz
dudgeon,ˈdʌdʒən
dudik,ˈdudɪk
dudley,ˈdʌdli
dudman,ˈdʌdmən
dudney,ˈdʌdni
duds,dʌdz
dudziak,ˈdʌdʒiæk
dudzik,ˈdʌdzɪk
dudzinski,dəˈdʒɪnski
due,du
duecker,ˈdukɚ
dueitt,ˈduət
dueker,ˈdukɚ
duel,ˈduəl
dueled,ˈduəld
dueling,ˈdulɪŋ
duelist,ˈduəlɪst
duell,dʒul
duels,ˈduəlz
duena,duˈɛnə
duenas,duˈɛnəs
duenez,dwɛˈnɛz
duenow,ˈdunoʊ
duensing,ˈdʊnsɪŋ
duer,ˈduɚ
duerksen,ˈdʊɹksən
duerr,dʊɹ
duerson,ˈdʊɹsən
duerst,dʊɹst
dues,duz
duesberg,ˈduzbɚɡ
duesing,ˈdusɪŋ
duesler,ˈdusəlɚ
duesseldorf,ˈdusəlˌdɔɹf
duet,duˈɛt
duets,duˈɛts
duey,ˈdui
dufault,dəˈfoʊ
dufek,ˈdufɪk
duff,dʌf
duffala,dəˈfælə
duffee,ˈdʌfi
duffek,ˈdʌfɪk
duffel,ˈdʌfəl
duffell,ˈdʌfəl
duffer,ˈdʌfɚ
duffett,ˈdʌfɪt
duffey,ˈdʌfi
duffie,ˈdʌfi
duffield,ˈdʌˌfild
duffin,ˈdʌfɪn
duffner,ˈdʌfnɚ
dufford,ˈdʌfɚd
duffour,ˈdʌfɔɹ
duffus,ˈdʌfəs
duffy,ˈdʌfi
duffy's,ˈdʌfiz
dufner,ˈdʌfnɚ
duford,ˈdʌfɚd
dufort,ˈdʌfɚt
dufour,dəˈfʊɹ
dufrane,dəfˈɹeɪn
dufrene,dəfˈɹin
