# FluencyOS CEFR wordlist — Phase 6 (difficulty heat, word lookup, leveling).
#
# LICENCE: this file is original to this project. Several widely-cited CEFR
# wordlists (EVP, Kelly, CEFR-J) are NOT redistributable, so rather than
# vendoring one, this is the fallback the plan calls for: a frequency-band
# approximation, hand-checked, covering the bands that actually matter to the
# reader. It is a reading aid, not an authoritative grading of English.
#
# Coverage is deliberately asymmetric. A1-B1 entries exist so that ordinary
# words are known-easy and never tint; B2-C2 entries carry the full payload
# (simpler synonym, definition, example) because those are the words the heat
# overlay marks and the lookup panel explains.
#
# An unknown word is treated as unrated, NOT as above-level: a missing hard
# word simply fails to tint, which is far less damaging than tinting every
# ordinary word on the page.
#
# columns: lemma,cefr,pos,simpler,definition,example,synonyms
lemma,cefr,pos,simpler,definition,example,synonyms
infer,B2,verb,work out,to work something out from evidence,We can infer his motive.,deduce|conclude
inherent,B2,adjective,built-in,existing as a natural part of something,The inherent risk of climbing.,intrinsic|built-in
initiate,B2,verb,start,to cause something to begin,They initiated a review.,begin|launch
innovation,B2,noun,new idea,a new method or idea,A period of rapid innovation.,invention|novelty
integral,B2,adjective,essential,necessary to make something complete,Trust is integral to the plan.,essential|intrinsic
integrate,B2,verb,combine,to combine things into a whole,The parts integrate smoothly.,combine|merge
interpret,B2,verb,explain,to explain the meaning of something,How do you interpret this line?,explain|construe
intervene,B2,verb,step in,to become involved in order to change something,The teacher intervened.,step in|interfere
intrinsic,B2,adjective,natural,belonging naturally to something,The intrinsic value of the land.,inherent|innate
justify,B2,verb,defend,to give a good reason for something,Nothing justifies that tone.,defend|warrant
legitimate,B2,adjective,lawful,allowed by law or reasonable,A legitimate concern.,lawful|valid
manipulate,B2,verb,control,to control someone or something skilfully or unfairly,He manipulated the figures.,control|rig
margin,B2,noun,edge,the edge of something or a spare amount,A narrow margin of error.,edge|allowance
mediate,B2,verb,settle,to help two sides reach agreement,The union mediated the dispute.,arbitrate|reconcile
minimal,B2,adjective,very small,as small as possible,Minimal damage.,slight|negligible
mutual,B2,adjective,shared,felt or done by two people equally,Mutual respect.,shared|reciprocal
negligible,B2,adjective,tiny,so small as not to matter,A negligible difference.,insignificant|trivial
notion,B2,noun,idea,an idea or belief,The notion that money buys happiness.,idea|concept
nonetheless,B2,adverb,even so,in spite of that,It rained; nonetheless we walked.,however|even so
objective,B2,adjective,unbiased,not influenced by personal feeling,An objective account.,impartial|neutral
obscure,B2,adjective,unclear,not well known or hard to understand,An obscure poet.,unclear|little-known
occupy,B2,verb,fill,to fill a space or time,The desk occupies the corner.,fill|inhabit
offset,B2,verb,balance,to balance one effect against another,Savings offset the cost.,balance|counteract
ongoing,B2,adjective,continuing,still happening,An ongoing investigation.,continuing|current
outcome,B2,noun,result,the final result,The outcome was never in doubt.,result|upshot
overlap,B2,verb,share,to cover part of the same area,Our duties overlap.,coincide|intersect
paradox,B2,noun,contradiction,a statement that seems to contradict itself,It is a paradox that we work to rest.,contradiction|puzzle
perceive,B2,verb,see,to notice or understand something,He perceived a change in her tone.,notice|discern
persist,B2,verb,continue,to continue in spite of difficulty,The rumour persisted.,continue|endure
phenomenon,B2,noun,event,something observed to happen,A natural phenomenon.,occurrence|event
plausible,B2,adjective,believable,seeming reasonable or probable,A plausible excuse.,believable|credible
precede,B2,verb,come before,to come before something,A storm preceded the calm.,antedate|come before
predominant,B2,adjective,main,most common or most powerful,The predominant colour is grey.,main|prevailing
preliminary,B2,adjective,first,coming before the main part,Preliminary results.,initial|introductory
presume,B2,verb,assume,to suppose something is true,I presume you have eaten.,assume|suppose
prevail,B2,verb,win,to be the strongest or most common,Good sense prevailed.,triumph|predominate
prior,B2,adjective,earlier,existing before something else,No prior experience needed.,earlier|previous
prominent,B2,adjective,well known,important or easily noticed,A prominent local family.,notable|conspicuous
prompt,B2,verb,cause,to cause someone to do something,The letter prompted a reply.,provoke|spur
proportion,B2,noun,share,a part in relation to the whole,A large proportion of readers.,share|ratio
pursue,B2,verb,follow,to follow or try to achieve something,She pursued a career in law.,chase|seek
radical,B2,adjective,extreme,very new and different,A radical change of plan.,extreme|drastic
reinforce,B2,verb,strengthen,to make something stronger,The result reinforced his view.,strengthen|bolster
reluctant,B2,adjective,unwilling,not wanting to do something,He was reluctant to speak.,unwilling|hesitant
render,B2,verb,make,to cause something to be in a certain state,The blow rendered him unconscious.,make|leave
resemble,B2,verb,look like,to look or be like something,She resembles her mother.,look like|mirror
reside,B2,verb,live,to live in a place,They reside abroad.,live|dwell
resolve,B2,verb,settle,to find a solution to a problem,They resolved the dispute.,settle|solve
restrict,B2,verb,limit,to keep within limits,Access is restricted.,limit|curb
retain,B2,verb,keep,to continue to have something,The house retains its original doors.,keep|hold
reverse,B2,verb,undo,to change to the opposite,The court reversed the ruling.,overturn|undo
rigid,B2,adjective,stiff,stiff or unwilling to change,A rigid set of rules.,inflexible|stiff
scope,B2,noun,range,the range of a subject or activity,The scope of the study.,range|extent
seek,B2,verb,look for,to try to find or obtain,They sought shelter.,look for|pursue
sequence,B2,noun,order,a set of things in a particular order,The sequence of events.,order|succession
simultaneous,B2,adjective,at once,happening at the same time,Simultaneous translation.,concurrent|synchronous
solely,B2,adverb,only,only and not involving anything else,Judged solely on merit.,only|exclusively
sophisticated,B2,adjective,advanced,complicated and advanced,A sophisticated instrument.,advanced|refined
speculate,B2,verb,guess,to form an opinion without firm evidence,We can only speculate.,guess|conjecture
stability,B2,noun,steadiness,the state of being steady,Political stability.,steadiness|balance
subsequent,B2,adjective,later,coming after something,Subsequent events proved him right.,later|following
substantial,B2,adjective,large,large in amount or importance,A substantial improvement.,considerable|sizeable
subtle,B2,adjective,slight,so slight as to be hard to notice,A subtle difference in tone.,slight|delicate
sufficient,B2,adjective,enough,as much as is needed,Sufficient evidence.,enough|adequate
sustain,B2,verb,keep up,to keep something going over time,The pace could not be sustained.,maintain|prolong
tension,B2,noun,strain,mental or physical strain,The tension in the room rose.,strain|stress
terminate,B2,verb,end,to bring to an end,The contract was terminated.,end|conclude
thereby,B2,adverb,so,as a result of that,"He resigned, thereby ending the crisis.",thus|so
transform,B2,verb,change,to change completely,The city has been transformed.,change|convert
transition,B2,noun,change,the process of changing from one state to another,A smooth transition.,changeover|shift
undergo,B2,verb,go through,to experience something difficult,She underwent surgery.,experience|endure
underlying,B2,adjective,basic,forming the hidden basis of something,The underlying cause.,basic|fundamental
undertake,B2,verb,take on,to agree to do something,They undertook the repairs.,take on|assume
uniform,B2,adjective,the same,the same in all cases,A uniform rate of pay.,consistent|even
utilise,B2,verb,use,to make practical use of something,We utilise every scrap.,use|employ
valid,B2,adjective,sound,based on good reasoning,A valid objection.,sound|legitimate
vary,B2,verb,differ,to be different or change,Prices vary by region.,differ|fluctuate
via,B2,preposition,through,travelling through a place or means,We flew via Rome.,through|by way of
viable,B2,adjective,workable,able to work successfully,A viable alternative.,workable|feasible
virtually,B2,adverb,almost,almost but not completely,Virtually everyone agreed.,almost|nearly
widespread,B2,adjective,common,existing over a large area,Widespread flooding.,extensive|prevalent
yield,B2,verb,give,to produce or give way,The field yields a good crop.,produce|surrender
abstain,C1,verb,hold back,to choose not to do something,Two members abstained.,refrain|forgo
acute,C1,adjective,sharp,severe or very perceptive,An acute shortage of nurses.,severe|keen
adhere,C1,verb,stick to,to stick to a rule or surface,Please adhere to the timetable.,comply|stick
adverse,C1,adjective,unfavourable,harmful or unfavourable,Adverse weather conditions.,unfavourable|hostile
albeit,C1,conjunction,although,although,"A useful, albeit costly, method.",although|though
alleviate,C1,verb,ease,to make pain or a problem less severe,Aspirin alleviates the pain.,ease|relieve
allude,C1,verb,hint at,to refer to something indirectly,She alluded to his past.,hint|refer
ambivalent,C1,adjective,unsure,having mixed feelings about something,He was ambivalent about leaving.,conflicted|uncertain
anomaly,C1,noun,oddity,something that differs from what is normal,A statistical anomaly.,oddity|irregularity
apprehension,C1,noun,worry,anxiety about the future,She waited with apprehension.,unease|dread
arduous,C1,adjective,hard,needing a lot of hard effort,An arduous climb.,strenuous|gruelling
ascertain,C1,verb,find out,to find something out for certain,We could not ascertain the cause.,determine|establish
assiduous,C1,adjective,hard-working,showing great care and effort,An assiduous student.,diligent|thorough
augment,C1,verb,increase,to make something greater,He augmented his income by teaching.,increase|supplement
austere,C1,adjective,plain,severely simple and without comfort,An austere little room.,stark|spartan
banister,C1,noun,handrail,the handrail on the side of a staircase,She ran her hand along the banister.,handrail|balustrade
benign,C1,adjective,harmless,gentle and not harmful,A benign influence.,harmless|kindly
candid,C1,adjective,honest,honest and direct in a way that may seem blunt,A candid assessment.,frank|forthright
coerce,C1,verb,force,to force someone to do something by threat,They were coerced into signing.,force|pressure
cogent,C1,adjective,convincing,clear and convincing,A cogent argument.,persuasive|compelling
commensurate,C1,adjective,matching,in proportion to something,Pay commensurate with experience.,proportionate|matching
compelling,C1,adjective,convincing,so strong as to demand attention,A compelling case for reform.,persuasive|gripping
complacent,C1,adjective,smug,too satisfied with yourself to notice danger,We must not grow complacent.,smug|self-satisfied
conducive,C1,adjective,helpful,making an outcome more likely,Not conducive to sleep.,favourable|helpful
conjecture,C1,noun,guess,an opinion formed without proof,Pure conjecture.,speculation|guesswork
consensus,C1,noun,agreement,general agreement among a group,A consensus emerged.,agreement|accord
contentious,C1,adjective,disputed,likely to cause argument,A contentious proposal.,controversial|divisive
converge,C1,verb,come together,to move towards the same point,The paths converge here.,meet|merge
copious,C1,adjective,plentiful,in large amounts,Copious notes.,abundant|profuse
corroborate,C1,verb,confirm,to support a statement with evidence,Two witnesses corroborated her account.,confirm|verify
culminate,C1,verb,end in,to reach a final result,The tour culminated in a concert.,climax|conclude
cursory,C1,adjective,quick,done quickly and without attention to detail,A cursory glance.,hasty|superficial
daunting,C1,adjective,intimidating,seeming difficult and discouraging,A daunting task.,intimidating|formidable
decipher,C1,verb,work out,to succeed in reading or understanding something unclear,I cannot decipher his writing.,decode|make out
delineate,C1,verb,outline,to describe or mark the edges of something precisely,The report delineates three options.,outline|define
deplete,C1,verb,use up,to reduce a supply greatly,Stocks were badly depleted.,exhaust|drain
depict,C1,verb,show,to represent something in words or pictures,The novel depicts village life.,portray|represent
discern,C1,verb,make out,to recognise something with difficulty,I could just discern a figure.,perceive|detect
discrete,C1,adjective,separate,separate and distinct,Three discrete stages.,separate|distinct
disparate,C1,adjective,different,very different in kind,Disparate sources of evidence.,dissimilar|varied
disseminate,C1,verb,spread,to spread information widely,The findings were disseminated online.,circulate|broadcast
divergent,C1,adjective,differing,developing in different directions,Divergent opinions.,differing|conflicting
elicit,C1,verb,draw out,to get a response from someone,The question elicited laughter.,draw out|evoke
elusive,C1,adjective,hard to catch,difficult to find or achieve,An elusive answer.,evasive|fleeting
embellish,C1,verb,decorate,to make something more attractive or add invented detail,He embellished the story.,adorn|exaggerate
eminent,C1,adjective,distinguished,famous and respected in a field,An eminent historian.,distinguished|renowned
enigmatic,C1,adjective,mysterious,difficult to understand,An enigmatic smile.,mysterious|cryptic
ephemeral,C1,adjective,short-lived,lasting for a very short time,Ephemeral fame.,fleeting|transient
equivocal,C1,adjective,unclear,deliberately unclear or open to interpretation,An equivocal answer.,ambiguous|evasive
exacerbate,C1,verb,worsen,to make a problem worse,The delay exacerbated the shortage.,aggravate|worsen
exemplify,C1,verb,show,to be a typical example of something,This case exemplifies the problem.,illustrate|typify
exhaustive,C1,adjective,thorough,including every possible detail,An exhaustive search.,thorough|comprehensive
expedite,C1,verb,speed up,to make a process happen faster,We can expedite the order.,hasten|accelerate
extraneous,C1,adjective,irrelevant,not relevant to the matter,Extraneous detail.,irrelevant|superfluous
facile,C1,adjective,shallow,too simple and showing little thought,A facile explanation.,glib|simplistic
feasible,C1,adjective,possible,able to be done,A feasible plan.,practicable|workable
fortuitous,C1,adjective,lucky,"happening by chance, often luckily",A fortuitous meeting.,accidental|lucky
futile,C1,adjective,pointless,producing no useful result,A futile gesture.,pointless|vain
germane,C1,adjective,relevant,relevant to the subject,That is not germane to the case.,relevant|pertinent
hitherto,C1,adverb,until now,until the present time,A hitherto unknown letter.,previously|so far
impede,C1,verb,slow,to slow down or block progress,Fog impeded the search.,hinder|obstruct
implicit,C1,adjective,implied,suggested without being stated,An implicit criticism.,implied|tacit
inadvertent,C1,adjective,accidental,not deliberate,An inadvertent error.,unintentional|accidental
incessant,C1,adjective,constant,continuing without pause,Incessant rain.,unceasing|relentless
incongruous,C1,adjective,out of place,seeming out of place,An incongruous modern porch.,inappropriate|jarring
indispensable,C1,adjective,essential,absolutely necessary,An indispensable guide.,essential|vital
inept,C1,adjective,clumsy,showing no skill,An inept attempt at repair.,incompetent|clumsy
innate,C1,adjective,inborn,present from birth,An innate sense of rhythm.,inborn|natural
innocuous,C1,adjective,harmless,not harmful or offensive,An innocuous remark.,harmless|inoffensive
insidious,C1,adjective,creeping,"harmful in a gradual, hidden way",An insidious decline.,stealthy|subtle
intricate,C1,adjective,complicated,having many small connected parts,Intricate carving.,complex|elaborate
juxtapose,C1,verb,place side by side,to place things close together for contrast,The film juxtaposes wealth and poverty.,contrast|pair
laconic,C1,adjective,brief,using very few words,A laconic reply.,terse|concise
lucid,C1,adjective,clear,clearly expressed or thinking clearly,A lucid explanation.,clear|coherent
meticulous,C1,adjective,careful,showing great attention to detail,Meticulous records.,thorough|painstaking
mitigate,C1,verb,soften,to make something less severe,Steps to mitigate the damage.,alleviate|lessen
mundane,C1,adjective,ordinary,dull and ordinary,Mundane chores.,routine|banal
nuance,C1,noun,shade of meaning,a very slight difference in meaning,The nuances of the translation.,subtlety|shade
obsolete,C1,adjective,out of date,no longer in use,Obsolete machinery.,outdated|defunct
ostensibly,C1,adverb,apparently,according to what is claimed but perhaps not truly,"Ostensibly a holiday, in fact a working trip.",apparently|supposedly
paramount,C1,adjective,most important,more important than anything else,Safety is paramount.,supreme|foremost
pertinent,C1,adjective,relevant,directly relevant to the matter,A pertinent question.,relevant|apposite
pervasive,C1,adjective,widespread,spreading through every part,A pervasive smell of damp.,ubiquitous|widespread
precarious,C1,adjective,unsafe,not securely held and likely to fail,A precarious living.,unstable|shaky
preclude,C1,verb,prevent,to make something impossible,The rules preclude appeal.,prevent|rule out
predicament,C1,noun,difficulty,a difficult situation,An awkward predicament.,plight|dilemma
prerequisite,C1,noun,requirement,something required before something else,Trust is a prerequisite.,requirement|precondition
proliferate,C1,verb,multiply,to increase rapidly in number,Rumours proliferated.,multiply|mushroom
prosaic,C1,adjective,dull,ordinary and lacking imagination,A prosaic account.,dull|pedestrian
quandary,C1,noun,dilemma,a state of uncertainty over what to do,A moral quandary.,dilemma|predicament
reciprocal,C1,adjective,mutual,given and received in return,A reciprocal arrangement.,mutual|shared
redundant,C1,adjective,unnecessary,no longer needed or repeated needlessly,A redundant clause.,superfluous|unnecessary
refute,C1,verb,disprove,to prove a statement wrong,He refuted the charge.,disprove|rebut
relinquish,C1,verb,give up,to give something up,She relinquished the title.,surrender|cede
reticent,C1,adjective,quiet,unwilling to speak freely about something,He was reticent about his early life.,reserved|guarded
scrutiny,C1,noun,close study,careful and critical examination,The plan came under scrutiny.,examination|inspection
sporadic,C1,adjective,occasional,happening at irregular intervals,Sporadic gunfire.,intermittent|occasional
stringent,C1,adjective,strict,strict and demanding,Stringent controls.,rigorous|severe
succinct,C1,adjective,brief,expressed clearly in few words,A succinct summary.,concise|terse
superfluous,C1,adjective,unnecessary,more than is needed,Superfluous detail.,redundant|excess
tacit,C1,adjective,unspoken,understood without being said,Tacit approval.,implicit|unspoken
tangible,C1,adjective,real,able to be touched or clearly real,Tangible benefits.,concrete|palpable
tenuous,C1,adjective,weak,very weak or slight,A tenuous connection.,flimsy|slight
ubiquitous,C1,adjective,everywhere,found everywhere,Ubiquitous advertising.,omnipresent|pervasive
vindicate,C1,verb,clear,to prove someone right,The result vindicated her.,justify|exonerate
abstruse,C2,adjective,hard to understand,difficult to understand,An abstruse argument.,obscure|arcane
acrimonious,C2,adjective,bitter,angry and bitter,An acrimonious dispute.,bitter|rancorous
alacrity,C2,noun,eagerness,brisk and cheerful readiness,He accepted with alacrity.,eagerness|willingness
anathema,C2,noun,something hated,something greatly disliked,Waste was anathema to her.,abomination|taboo
antithesis,C2,noun,opposite,the direct opposite,The antithesis of good taste.,opposite|contrary
approbation,C2,noun,approval,approval or praise,A murmur of approbation.,approval|praise
assuage,C2,verb,ease,to make an unpleasant feeling less intense,Nothing assuaged her guilt.,soothe|allay
banal,C2,adjective,unoriginal,boring because it is so ordinary,A banal observation.,trite|hackneyed
cacophony,C2,noun,harsh noise,a harsh mixture of sounds,A cacophony of horns.,din|discord
capricious,C2,adjective,unpredictable,changing mood or behaviour suddenly,A capricious employer.,fickle|volatile
circumspect,C2,adjective,cautious,careful to consider all consequences,A circumspect reply.,wary|prudent
craven,C2,adjective,cowardly,shamefully lacking in courage,A craven retreat.,cowardly|spineless
denigrate,C2,verb,belittle,to criticise unfairly,He denigrated her work.,disparage|belittle
desultory,C2,adjective,aimless,lacking a plan or purpose,Desultory conversation.,aimless|random
diffident,C2,adjective,shy,modest and lacking confidence,A diffident young man.,shy|timid
disparage,C2,verb,belittle,to speak of someone as unimportant,He disparaged their efforts.,belittle|denigrate
ebullient,C2,adjective,lively,cheerful and full of energy,An ebullient host.,exuberant|buoyant
efficacy,C2,noun,effectiveness,the ability to produce a desired result,The efficacy of the drug.,effectiveness|potency
egregious,C2,adjective,shocking,outstandingly bad,An egregious error.,flagrant|blatant
enervate,C2,verb,tire,to drain of energy,The heat enervated them.,weaken|exhaust
ennui,C2,noun,boredom,a weary dissatisfaction with life,A summer of ennui.,boredom|listlessness
esoteric,C2,adjective,specialised,understood by only a few,Esoteric knowledge.,arcane|obscure
extol,C2,verb,praise,to praise highly,He extolled her patience.,praise|laud
fastidious,C2,adjective,fussy,very attentive to detail and hard to please,A fastidious editor.,meticulous|finicky
garrulous,C2,adjective,talkative,excessively talkative,A garrulous neighbour.,talkative|loquacious
harangue,C2,noun,lecture,"a long, angry speech",A harangue about waste.,tirade|rant
iconoclast,C2,noun,rebel,someone who attacks cherished beliefs,An iconoclast by temperament.,rebel|dissenter
inexorable,C2,adjective,unstoppable,impossible to stop or change,The inexorable passage of time.,relentless|inevitable
ineffable,C2,adjective,indescribable,too great to be described in words,Ineffable sadness.,indescribable|inexpressible
inscrutable,C2,adjective,unreadable,impossible to interpret,An inscrutable expression.,enigmatic|impenetrable
intransigent,C2,adjective,stubborn,refusing to change one's views,An intransigent negotiator.,uncompromising|obdurate
inveterate,C2,adjective,habitual,having a long-established habit,An inveterate gambler.,habitual|chronic
laudable,C2,adjective,praiseworthy,deserving praise,A laudable aim.,commendable|admirable
magnanimous,C2,adjective,generous,generous towards a rival,A magnanimous concession.,generous|forgiving
mendacious,C2,adjective,untruthful,not telling the truth,A mendacious account.,dishonest|deceitful
obdurate,C2,adjective,stubborn,stubbornly refusing to change,He remained obdurate.,unyielding|inflexible
obfuscate,C2,verb,confuse,to make something deliberately unclear,The report obfuscates the cost.,confuse|cloud
obsequious,C2,adjective,fawning,excessively eager to please,An obsequious waiter.,servile|fawning
ossify,C2,verb,harden,to become rigid and unable to change,The rules had ossified.,harden|fossilise
palpable,C2,adjective,obvious,so intense as to seem touchable,A palpable silence.,tangible|evident
panacea,C2,noun,cure-all,a solution for all problems,Technology is no panacea.,cure-all|remedy
paucity,C2,noun,shortage,a very small amount of something,A paucity of evidence.,scarcity|dearth
pellucid,C2,adjective,very clear,transparently clear,Pellucid prose.,lucid|limpid
penchant,C2,noun,liking,a strong liking for something,A penchant for old maps.,fondness|taste
perfunctory,C2,adjective,half-hearted,done without care or interest,A perfunctory apology.,cursory|token
pernicious,C2,adjective,harmful,having a gradual harmful effect,A pernicious rumour.,damaging|insidious
platitude,C2,noun,cliché,a dull remark used as if it were meaningful,A speech full of platitudes.,cliché|truism
polemic,C2,noun,attack,a strong verbal attack on an opinion,A polemic against reform.,tirade|diatribe
pragmatic,C2,adjective,practical,dealing with things practically,A pragmatic compromise.,practical|realistic
prescient,C2,adjective,far-seeing,knowing about things before they happen,A prescient warning.,prophetic|farsighted
prevaricate,C2,verb,evade,to avoid telling the truth directly,He prevaricated when asked.,equivocate|stall
pusillanimous,C2,adjective,cowardly,showing a lack of courage,A pusillanimous silence.,timid|craven
quixotic,C2,adjective,idealistic,unrealistically idealistic,A quixotic scheme.,idealistic|impractical
recalcitrant,C2,adjective,uncooperative,stubbornly resisting authority,A recalcitrant witness.,defiant|unruly
recondite,C2,adjective,obscure,concerned with an obscure subject,Recondite scholarship.,abstruse|arcane
reprobate,C2,noun,rogue,an unprincipled person,An old reprobate.,rogue|scoundrel
sanguine,C2,adjective,hopeful,optimistic in a difficult situation,Sanguine about the outcome.,optimistic|upbeat
sedulous,C2,adjective,diligent,showing dedication and care,Sedulous attention to detail.,assiduous|diligent
soporific,C2,adjective,sleep-inducing,tending to cause sleep,A soporific lecture.,sleepy|drowsy
specious,C2,adjective,misleading,seeming right but actually wrong,A specious argument.,plausible|fallacious
spurious,C2,adjective,false,not genuine,Spurious claims.,false|bogus
stultify,C2,verb,dull,to make dull or ineffective,Routine stultified him.,deaden|blunt
supercilious,C2,adjective,haughty,behaving as though superior,A supercilious tone.,haughty|disdainful
surfeit,C2,noun,excess,an excessive amount,A surfeit of choice.,excess|glut
sycophant,C2,noun,flatterer,someone who flatters to gain advantage,Surrounded by sycophants.,flatterer|toady
taciturn,C2,adjective,quiet,saying very little,A taciturn farmer.,reserved|silent
temerity,C2,noun,boldness,excessive confidence or boldness,He had the temerity to ask.,audacity|nerve
tenacious,C2,adjective,persistent,holding firmly and not giving up,A tenacious campaigner.,persistent|dogged
truculent,C2,adjective,aggressive,eager to argue or fight,A truculent response.,belligerent|combative
turpitude,C2,noun,wickedness,depraved or wicked behaviour,Moral turpitude.,depravity|wickedness
ubiquity,C2,noun,presence everywhere,the state of being everywhere,The ubiquity of screens.,omnipresence|pervasiveness
vacillate,C2,verb,waver,to keep changing your mind,He vacillated for weeks.,waver|dither
venerate,C2,verb,revere,to regard with deep respect,They venerated the founder.,revere|worship
veracity,C2,noun,truthfulness,conformity to facts,The veracity of the account.,truthfulness|accuracy
verbose,C2,adjective,wordy,using more words than needed,A verbose introduction.,wordy|long-winded
vicissitude,C2,noun,change,"a change of circumstances, usually unwelcome",The vicissitudes of fortune.,fluctuation|upheaval
vituperative,C2,adjective,abusive,bitter and abusive,A vituperative review.,scathing|abusive
zealous,C2,adjective,eager,showing great energy for a cause,A zealous reformer.,fervent|ardent
